;voltages;currents
0;20.0;0
1;20.303030303030305;0
2;20.606060606060606;0
3;20.90909090909091;0
4;21.21212121212121;3
5;21.515151515151516;4
6;21.81818181818182;11
7;22.12121212121212;17
8;22.424242424242426;23
9;22.727272727272727;25
10;23.03030303030303;27
11;23.333333333333332;24
12;23.636363636363637;22
13;23.939393939393938;17
14;24.242424242424242;12
15;24.545454545454547;6
16;24.848484848484848;0
17;25.151515151515152;0
18;25.454545454545453;6
19;25.757575757575758;9
20;26.060606060606062;21
21;26.363636363636363;38
22;26.666666666666668;55
23;26.96969696969697;70
24;27.272727272727273;81
25;27.575757575757578;86
26;27.87878787878788;85
27;28.18181818181818;78
28;28.484848484848484;68
29;28.78787878787879;56
30;29.090909090909093;41
31;29.393939393939394;29
32;29.696969696969695;22
33;30.0;16
34;30.303030303030305;21
35;30.606060606060606;36
36;30.90909090909091;62
37;31.21212121212121;92
38;31.515151515151516;124
39;31.81818181818182;147
40;32.121212121212125;166
41;32.42424242424242;172
42;32.72727272727273;168
43;33.03030303030303;154
44;33.333333333333336;135
45;33.63636363636364;112
46;33.93939393939394;87
47;34.24242424242424;65
48;34.54545454545455;50
49;34.84848484848485;45
50;35.151515151515156;53
51;35.45454545454545;73
52;35.75757575757576;108
53;36.06060606060606;154
54;36.36363636363636;202
55;36.66666666666667;245
56;36.96969696969697;275
57;37.27272727272727;289
58;37.57575757575758;285
59;37.878787878787875;268
60;38.18181818181819;237
61;38.484848484848484;204
62;38.78787878787879;168
63;39.09090909090909;134
64;39.39393939393939;107
65;39.6969696969697;96
66;40.0;102
67;40.303030303030305;127
68;40.60606060606061;173
69;40.90909090909091;236
70;41.21212121212121;303
71;41.515151515151516;371
72;41.81818181818182;426
73;42.121212121212125;459
74;42.42424242424242;469
75;42.72727272727273;455
76;43.03030303030303;422
77;43.333333333333336;376
78;43.63636363636364;325
79;43.93939393939394;274
80;44.24242424242424;233
81;44.54545454545455;203
82;44.848484848484844;194
83;45.151515151515156;217
84;45.45454545454545;269
85;45.75757575757576;350
86;46.06060606060606;449
87;46.36363636363636;555
88;46.66666666666667;654
89;46.96969696969697;728
90;47.27272727272727;773
91;47.57575757575758;784
92;47.878787878787875;764
93;48.18181818181819;720
94;48.484848484848484;655
95;48.78787878787879;590
96;49.09090909090909;514
97;49.39393939393939;460
98;49.6969696969697;436
99;50.0;448
