;voltages;currents
0;20.0;521
1;20.303030303030305;539
2;20.606060606060606;583
3;20.90909090909091;645
4;21.21212121212121;717
5;21.515151515151516;782
6;21.81818181818182;839
7;22.12121212121212;879
8;22.424242424242426;898
9;22.727272727272727;895
10;23.03030303030303;874
11;23.333333333333332;844
12;23.636363636363637;811
13;23.939393939393938;784
14;24.242424242424242;766
15;24.545454545454547;774
16;24.848484848484848;807
17;25.151515151515152;872
18;25.454545454545453;972
19;25.757575757575758;1095
20;26.060606060606062;1227
21;26.363636363636363;1344
22;26.666666666666668;1446
23;26.96969696969697;1506
24;27.272727272727273;1516
25;27.575757575757578;1492
26;27.87878787878788;1425
27;28.18181818181818;1343
28;28.484848484848484;1257
29;28.78787878787879;1192
30;29.090909090909093;1151
31;29.393939393939394;1145
32;29.696969696969695;1198
33;30.0;1301
34;30.303030303030305;1461
35;30.606060606060606;1664
36;30.90909090909091;1886
37;31.21212121212121;2083
38;31.515151515151516;2239
39;31.81818181818182;2306
40;32.121212121212125;2316
41;32.42424242424242;2246
42;32.72727272727273;2131
43;33.03030303030303;1990
44;33.333333333333336;1843
45;33.63636363636364;1733
46;33.93939393939394;1662
47;34.24242424242424;1667
48;34.54545454545455;1742
49;34.84848484848485;1884
50;35.151515151515156;2133
51;35.45454545454545;2391
52;35.75757575757576;2690
53;36.06060606060606;2977
54;36.36363636363636;3204
55;36.66666666666667;3317
56;36.96969696969697;3329
57;37.27272727272727;3235
58;37.57575757575758;3070
59;37.878787878787875;2880
60;38.18181818181819;2646
61;38.484848484848484;2490
62;38.78787878787879;2376
63;39.09090909090909;2350
64;39.39393939393939;2425
65;39.6969696969697;2610
66;40.0;2886
67;40.303030303030305;3228
68;40.60606060606061;3621
69;40.90909090909091;4020
70;41.21212121212121;4356
71;41.515151515151516;4572
72;41.81818181818182;4682
73;42.121212121212125;4630
74;42.42424242424242;4470
75;42.72727272727273;4227
76;43.03030303030303;3958
77;43.333333333333336;3693
78;43.63636363636364;3505
79;43.93939393939394;3409
80;44.24242424242424;3433
81;44.54545454545455;3604
82;44.848484848484844;3903
83;45.151515151515156;4355
84;45.45454545454545;4867
85;45.75757575757576;5425
86;46.06060606060606;5960
87;46.36363636363636;6363
88;46.66666666666667;6657
89;46.96969696969697;6719
90;47.27272727272727;6647
91;47.57575757575758;6432
92;47.878787878787875;6156
93;48.18181818181819;5852
94;48.484848484848484;5587
95;48.78787878787879;5435
96;49.09090909090909;5409
97;49.39393939393939;5603
98;49.6969696969697;5893
99;50.0;6456
