voltages;currents
20.0;159
20.303030303030305;162
20.606060606060606;176
20.90909090909091;200
21.21212121212121;231
21.515151515151516;266
21.81818181818182;300
22.12121212121212;330
22.424242424242426;351
22.727272727272727;358
23.03030303030303;354
23.333333333333332;342
23.636363636363637;323
23.939393939393938;299
24.242424242424242;274
24.545454545454547;256
24.848484848484848;250
25.151515151515152;262
25.454545454545453;292
25.757575757575758;345
26.060606060606062;407
26.363636363636363;473
26.666666666666668;537
26.96969696969697;589
27.272727272727273;619
27.575757575757578;623
27.87878787878788;606
28.18181818181818;569
28.484848484848484;518
28.78787878787879;470
29.090909090909093;417
29.393939393939394;384
29.696969696969695;369
30.0;386
30.303030303030305;436
30.606060606060606;518
30.90909090909091;631
31.21212121212121;745
31.515151515151516;851
31.81818181818182;924
32.121212121212125;968
32.42424242424242;968
32.72727272727273;932
33.03030303030303;861
33.333333333333336;776
33.63636363636364;685
33.93939393939394;606
34.24242424242424;551
34.54545454545455;529
34.84848484848485;550
35.151515151515156;627
35.45454545454545;738
35.75757575757576;887
36.06060606060606;1056
36.36363636363636;1212
36.66666666666667;1333
36.96969696969697;1400
37.27272727272727;1401
37.57575757575758;1349
37.878787878787875;1258
38.18181818181819;1126
38.484848484848484;1007
38.78787878787879;892
39.09090909090909;805
39.39393939393939;765
39.6969696969697;781
40.0;866
40.303030303030305;1001
40.60606060606061;1193
40.90909090909091;1425
41.21212121212121;1647
41.515151515151516;1836
41.81818181818182;1976
42.121212121212125;2032
42.42424242424242;2004
42.72727272727273;1915
43.03030303030303;1766
43.333333333333336;1589
43.63636363636364;1423
43.93939393939394;1280
44.24242424242424;1188
44.54545454545455;1167
44.848484848484844;1235
45.151515151515156;1395
45.45454545454545;1641
45.75757575757576;1952
46.06060606060606;2289
46.36363636363636;2605
46.66666666666667;2865
46.96969696969697;3019
47.27272727272727;3072
47.57575757575758;3032
47.878787878787875;2903
48.18181818181819;2704
48.484848484848484;2503
48.78787878787879;2313
49.09090909090909;2147
49.39393939393939;2082
49.6969696969697;2128
50.0;2311
