;voltages;currents
0;20.0;19
1;20.303030303030305;13
2;20.606060606060606;21
3;20.90909090909091;29
4;21.21212121212121;42
5;21.515151515151516;60
6;21.81818181818182;75
7;22.12121212121212;89
8;22.424242424242426;97
9;22.727272727272727;102
10;23.03030303030303;99
11;23.333333333333332;93
12;23.636363636363637;83
13;23.939393939393938;71
14;24.242424242424242;58
15;24.545454545454547;47
16;24.848484848484848;42
17;25.151515151515152;43
18;25.454545454545453;55
19;25.757575757575758;78
20;26.060606060606062;109
21;26.363636363636363;142
22;26.666666666666668;173
23;26.96969696969697;199
24;27.272727272727273;214
25;27.575757575757578;218
26;27.87878787878788;209
27;28.18181818181818;191
28;28.484848484848484;167
29;28.78787878787879;142
30;29.090909090909093;114
31;29.393939393939394;93
32;29.696969696969695;81
33;30.0;83
34;30.303030303030305;103
35;30.606060606060606;142
36;30.90909090909091;195
37;31.21212121212121;253
38;31.515151515151516;310
39;31.81818181818182;349
40;32.121212121212125;374
41;32.42424242424242;376
42;32.72727272727273;359
43;33.03030303030303;328
44;33.333333333333336;283
45;33.63636363636364;236
46;33.93939393939394;193
47;34.24242424242424;158
48;34.54545454545455;140
49;34.84848484848485;142
50;35.151515151515156;174
51;35.45454545454545;226
52;35.75757575757576;302
53;36.06060606060606;391
54;36.36363636363636;479
55;36.66666666666667;549
56;36.96969696969697;590
57;37.27272727272727;601
58;37.57575757575758;579
59;37.878787878787875;536
60;38.18181818181819;469
61;38.484848484848484;403
62;38.78787878787879;338
63;39.09090909090909;282
64;39.39393939393939;246
65;39.6969696969697;242
66;40.0;272
67;40.303030303030305;336
68;40.60606060606061;435
69;40.90909090909091;555
70;41.21212121212121;682
71;41.515151515151516;792
72;41.81818181818182;878
73;42.121212121212125;923
74;42.42424242424242;920
75;42.72727272727273;881
76;43.03030303030303;808
77;43.333333333333336;718
78;43.63636363636364;621
79;43.93939393939394;533
80;44.24242424242424;470
81;44.54545454545455;435
82;44.848484848484844;451
83;45.151515151515156;515
84;45.45454545454545;638
85;45.75757575757576;803
86;46.06060606060606;997
87;46.36363636363636;1195
88;46.66666666666667;1363
89;46.96969696969697;1477
90;47.27272727272727;1538
91;47.57575757575758;1528
92;47.878787878787875;1475
93;48.18181818181819;1372
94;48.484848484848484;1247
95;48.78787878787879;1131
96;49.09090909090909;1009
97;49.39393939393939;938
98;49.6969696969697;923
99;50.0;993
