;0
0.0;16
0.35353535353535354;15
0.7070707070707071;16
1.0606060606060606;16
1.4141414141414141;15
1.7676767676767677;16
2.121212121212121;16
2.474747474747475;15
2.8282828282828283;16
3.1818181818181817;15
3.5353535353535355;15
3.888888888888889;15
4.242424242424242;15
4.595959595959596;16
4.94949494949495;16
5.303030303030303;16
5.656565656565657;17
6.01010101010101;18
6.363636363636363;19
6.717171717171717;21
7.070707070707071;23
7.424242424242424;20
7.777777777777778;22
8.131313131313131;35
8.484848484848484;40
8.83838383838384;51
9.191919191919192;62
9.545454545454545;70
9.8989898989899;79
10.252525252525253;88
10.606060606060606;97
10.95959595959596;109
11.313131313131313;123
11.666666666666666;136
12.02020202020202;150
12.373737373737374;166
12.727272727272727;178
13.080808080808081;191
13.434343434343434;204
13.787878787878787;215
14.141414141414142;226
14.494949494949495;236
14.848484848484848;240
15.202020202020202;249
15.555555555555555;268
15.909090909090908;288
16.262626262626263;312
16.616161616161616;337
16.96969696969697;370
17.32323232323232;393
17.67676767676768;416
18.03030303030303;432
18.383838383838384;439
18.737373737373737;445
19.09090909090909;447
19.444444444444443;447
19.7979797979798;453
20.151515151515152;471
20.505050505050505;498
20.858585858585858;539
21.21212121212121;590
21.565656565656564;648
21.91919191919192;705
22.272727272727273;751
22.626262626262626;774
22.97979797979798;783
23.333333333333332;775
23.68686868686869;766
24.04040404040404;750
24.393939393939394;740
24.747474747474747;746
25.1010101010101;782
25.454545454545453;847
25.80808080808081;940
26.161616161616163;1043
26.515151515151516;1138
26.86868686868687;1222
27.22222222222222;1276
27.575757575757574;1288
27.92929292929293;1263
28.282828282828284;1212
28.636363636363637;1153
28.98989898989899;1105
29.343434343434343;1087
29.696969696969695;1108
30.050505050505052;1185
30.404040404040405;1314
30.757575757575758;1479
31.11111111111111;1663
31.464646464646464;1828
31.818181818181817;1947
32.17171717171717;1994
32.525252525252526;1968
32.878787878787875;1889
33.23232323232323;1779
33.58585858585859;1678
33.93939393939394;1609
34.292929292929294;1588
34.64646464646464;1636
35.0;1773
