;0
0.0;15
0.8108108108108109;15
1.6216216216216217;14
2.4324324324324325;14
3.2432432432432434;14
4.054054054054054;15
4.864864864864865;15
5.675675675675676;14
6.486486486486487;15
7.297297297297297;16
8.108108108108109;15
8.91891891891892;25
9.72972972972973;31
10.54054054054054;40
11.351351351351353;58
12.162162162162163;83
12.972972972972974;107
13.783783783783784;118
14.594594594594595;118
15.405405405405407;123
16.216216216216218;168
17.027027027027028;237
17.83783783783784;276
18.64864864864865;266
19.45945945945946;227
20.27027027027027;228
21.08108108108108;330
21.891891891891895;468
22.702702702702705;520
23.513513513513516;452
24.324324324324326;354
25.135135135135137;359
25.945945945945947;555
26.756756756756758;813
27.56756756756757;885
28.37837837837838;732
29.18918918918919;537
30.0;526
30.810810810810814;843
31.621621621621625;1244
32.432432432432435;1339
33.24324324324324;1087
34.054054054054056;781
34.86486486486487;755
35.67567567567568;1177
36.48648648648649;1779
37.2972972972973;1954
38.10810810810811;1623
38.91891891891892;1181
39.72972972972973;1087
40.54054054054054;1611
41.351351351351354;2426
42.16216216216216;2853
42.972972972972975;2554
43.78378378378379;1959
44.5945945945946;1709
45.40540540540541;2283
46.21621621621622;3524
47.02702702702703;4509
47.83783783783784;4539
48.64864864864865;3911
49.45945945945946;3518
50.270270270270274;4311
51.08108108108108;6658
51.891891891891895;9730
52.70270270270271;12123
53.513513513513516;13316
54.32432432432433;13325
55.13513513513514;13323
55.94594594594595;2424
56.75675675675676;594
57.56756756756757;388
58.37837837837838;112
59.18918918918919;37
60.0;16
