;0
0.0;31
0.35353535353535354;16
0.7070707070707071;16
1.0606060606060606;16
1.4141414141414141;17
1.7676767676767677;16
2.121212121212121;16
2.474747474747475;16
2.8282828282828283;16
3.1818181818181817;16
3.5353535353535355;16
3.888888888888889;16
4.242424242424242;16
4.595959595959596;16
4.94949494949495;15
5.303030303030303;16
5.656565656565657;16
6.01010101010101;17
6.363636363636363;17
6.717171717171717;17
7.070707070707071;19
7.424242424242424;17
7.777777777777778;18
8.131313131313131;21
8.484848484848484;25
8.83838383838384;38
9.191919191919192;43
9.545454545454545;53
9.8989898989899;61
10.252525252525253;68
10.606060606060606;78
10.95959595959596;89
11.313131313131313;102
11.666666666666666;115
12.02020202020202;131
12.373737373737374;144
12.727272727272727;159
13.080808080808081;173
13.434343434343434;187
13.787878787878787;196
14.141414141414142;202
14.494949494949495;206
14.848484848484848;218
15.202020202020202;226
15.555555555555555;240
15.909090909090908;260
16.262626262626263;288
16.616161616161616;319
16.96969696969697;350
17.32323232323232;378
17.67676767676768;398
18.03030303030303;408
18.383838383838384;415
18.737373737373737;413
19.09090909090909;406
19.444444444444443;401
19.7979797979798;401
20.151515151515152;416
20.505050505050505;453
20.858585858585858;506
21.21212121212121;566
21.565656565656564;627
21.91919191919192;683
22.272727272727273;730
22.626262626262626;748
22.97979797979798;739
23.333333333333332;712
23.68686868686869;680
24.04040404040404;653
24.393939393939394;635
24.747474747474747;638
25.1010101010101;681
25.454545454545453;765
25.80808080808081;885
26.161616161616163;1008
26.515151515151516;1125
26.86868686868687;1213
27.22222222222222;1257
27.575757575757574;1251
27.92929292929293;1202
28.282828282828284;1121
28.636363636363637;1042
28.98989898989899;978
29.343434343434343;947
29.696969696969695;970
30.050505050505052;1068
30.404040404040405;1220
30.757575757575758;1429
31.11111111111111;1642
31.464646464646464;1816
31.818181818181817;1909
32.17171717171717;1922
32.525252525252526;1856
32.878787878787875;1731
33.23232323232323;1578
33.58585858585859;1442
33.93939393939394;1349
34.292929292929294;1326
34.64646464646464;1388
35.0;1554
