;voltages;currents
0;20.0;376
1;20.303030303030305;414
2;20.606060606060606;467
3;20.90909090909091;540
4;21.21212121212121;621
5;21.515151515151516;697
6;21.81818181818182;757
7;22.12121212121212;795
8;22.424242424242426;803
9;22.727272727272727;788
10;23.03030303030303;746
11;23.333333333333332;697
12;23.636363636363637;647
13;23.939393939393938;601
14;24.242424242424242;571
15;24.545454545454547;572
16;24.848484848484848;605
17;25.151515151515152;683
18;25.454545454545453;801
19;25.757575757575758;947
20;26.060606060606062;1103
21;26.363636363636363;1235
22;26.666666666666668;1342
23;26.96969696969697;1395
24;27.272727272727273;1395
25;27.575757575757578;1344
26;27.87878787878788;1249
27;28.18181818181818;1135
28;28.484848484848484;1022
29;28.78787878787879;933
30;29.090909090909093;869
31;29.393939393939394;861
32;29.696969696969695;913
33;30.0;1039
34;30.303030303030305;1221
35;30.606060606060606;1458
36;30.90909090909091;1719
37;31.21212121212121;1939
38;31.515151515151516;2093
39;31.81818181818182;2160
40;32.121212121212125;2137
41;32.42424242424242;2034
42;32.72727272727273;1874
43;33.03030303030303;1688
44;33.333333333333336;1506
45;33.63636363636364;1352
46;33.93939393939394;1259
47;34.24242424242424;1249
48;34.54545454545455;1329
49;34.84848484848485;1500
50;35.151515151515156;1795
51;35.45454545454545;2112
52;35.75757575757576;2472
53;36.06060606060606;2811
54;36.36363636363636;3063
55;36.66666666666667;3198
56;36.96969696969697;3175
57;37.27272727272727;3046
58;37.57575757575758;2817
59;37.878787878787875;2555
60;38.18181818181819;2254
61;38.484848484848484;2033
62;38.78787878787879;1879
63;39.09090909090909;1820
64;39.39393939393939;1898
65;39.6969696969697;2110
66;40.0;2442
67;40.303030303030305;2856
68;40.60606060606061;3349
69;40.90909090909091;3839
70;41.21212121212121;4257
71;41.515151515151516;4539
72;41.81818181818182;4650
73;42.121212121212125;4588
74;42.42424242424242;4363
75;42.72727272727273;4043
76;43.03030303030303;3671
77;43.333333333333336;3320
78;43.63636363636364;3055
79;43.93939393939394;2895
80;44.24242424242424;2896
81;44.54545454545455;3078
82;44.848484848484844;3466
83;45.151515151515156;4017
84;45.45454545454545;4689
85;45.75757575757576;5429
86;46.06060606060606;6161
87;46.36363636363636;6757
88;46.66666666666667;7144
89;46.96969696969697;7287
90;47.27272727272727;7201
91;47.57575757575758;6941
92;47.878787878787875;6558
93;48.18181818181819;6155
94;48.484848484848484;5790
95;48.78787878787879;5565
96;49.09090909090909;5518
97;49.39393939393939;5727
98;49.6969696969697;6175
99;50.0;7044
