;voltages;currents
0;20.0;3
1;20.303030303030305;0
2;20.606060606060606;1
3;20.90909090909091;3
4;21.21212121212121;0
5;21.515151515151516;10
6;21.81818181818182;8
7;22.12121212121212;18
8;22.424242424242426;21
9;22.727272727272727;24
10;23.03030303030303;23
11;23.333333333333332;22
12;23.636363636363637;17
13;23.939393939393938;15
14;24.242424242424242;8
15;24.545454545454547;5
16;24.848484848484848;7
17;25.151515151515152;0
18;25.454545454545453;7
19;25.757575757575758;10
20;26.060606060606062;20
21;26.363636363636363;37
22;26.666666666666668;54
23;26.96969696969697;68
24;27.272727272727273;78
25;27.575757575757578;82
26;27.87878787878788;79
27;28.18181818181818;72
28;28.484848484848484;61
29;28.78787878787879;50
30;29.090909090909093;34
31;29.393939393939394;23
32;29.696969696969695;15
33;30.0;14
34;30.303030303030305;18
35;30.606060606060606;34
36;30.90909090909091;59
37;31.21212121212121;89
38;31.515151515151516;120
39;31.81818181818182;143
40;32.121212121212125;159
41;32.42424242424242;163
42;32.72727272727273;158
43;33.03030303030303;146
44;33.333333333333336;125
45;33.63636363636364;102
46;33.93939393939394;79
47;34.24242424242424;58
48;34.54545454545455;44
49;34.84848484848485;39
50;35.151515151515156;48
51;35.45454545454545;69
52;35.75757575757576;105
53;36.06060606060606;150
54;36.36363636363636;198
55;36.66666666666667;239
56;36.96969696969697;267
57;37.27272727272727;278
58;37.57575757575758;274
59;37.878787878787875;255
60;38.18181818181819;223
61;38.484848484848484;191
62;38.78787878787879;155
63;39.09090909090909;123
64;39.39393939393939;98
65;39.6969696969697;86
66;40.0;93
67;40.303030303030305;117
68;40.60606060606061;161
69;40.90909090909091;221
70;41.21212121212121;289
71;41.515151515151516;350
72;41.81818181818182;403
73;42.121212121212125;434
74;42.42424242424242;444
75;42.72727272727273;431
76;43.03030303030303;402
77;43.333333333333336;358
78;43.63636363636364;309
79;43.93939393939394;260
80;44.24242424242424;219
81;44.54545454545455;192
82;44.848484848484844;183
83;45.151515151515156;204
84;45.45454545454545;254
85;45.75757575757576;332
86;46.06060606060606;434
87;46.36363636363636;541
88;46.66666666666667;639
89;46.96969696969697;717
90;47.27272727272727;761
91;47.57575757575758;775
92;47.878787878787875;754
93;48.18181818181819;711
94;48.484848484848484;651
95;48.78787878787879;585
96;49.09090909090909;516
97;49.39393939393939;464
98;49.6969696969697;437
99;50.0;448
