;voltages;currents
0;20.0;74
1;20.303030303030305;81
2;20.606060606060606;98
3;20.90909090909091;126
4;21.21212121212121;159
5;21.515151515151516;193
6;21.81818181818182;223
7;22.12121212121212;247
8;22.424242424242426;260
9;22.727272727272727;260
10;23.03030303030303;248
11;23.333333333333332;230
12;23.636363636363637;207
13;23.939393939393938;179
14;24.242424242424242;156
15;24.545454545454547;142
16;24.848484848484848;139
17;25.151515151515152;157
18;25.454545454545453;195
19;25.757575757575758;253
20;26.060606060606062;321
21;26.363636363636363;386
22;26.666666666666668;444
23;26.96969696969697;484
24;27.272727272727273;502
25;27.575757575757578;494
26;27.87878787878788;467
27;28.18181818181818;423
28;28.484848484848484;366
29;28.78787878787879;320
30;29.090909090909093;267
31;29.393939393939394;239
32;29.696969696969695;232
33;30.0;258
34;30.303030303030305;320
35;30.606060606060606;416
36;30.90909090909091;533
37;31.21212121212121;648
38;31.515151515151516;749
39;31.81818181818182;806
40;32.121212121212125;830
41;32.42424242424242;810
42;32.72727272727273;752
43;33.03030303030303;675
44;33.333333333333336;584
45;33.63636363636364;495
46;33.93939393939394;419
47;34.24242424242424;371
48;34.54545454545455;360
49;34.84848484848485;398
50;35.151515151515156;493
51;35.45454545454545;622
52;35.75757575757576;785
53;36.06060606060606;958
54;36.36363636363636;1112
55;36.66666666666667;1217
56;36.96969696969697;1258
57;37.27272727272727;1239
58;37.57575757575758;1164
59;37.878787878787875;1057
60;38.18181818181819;912
61;38.484848484848484;785
62;38.78787878787879;668
63;39.09090909090909;587
64;39.39393939393939;557
65;39.6969696969697;592
66;40.0;697
67;40.303030303030305;854
68;40.60606060606061;1070
69;40.90909090909091;1314
70;41.21212121212121;1542
71;41.515151515151516;1729
72;41.81818181818182;1847
73;42.121212121212125;1883
74;42.42424242424242;1830
75;42.72727272727273;1718
76;43.03030303030303;1556
77;43.333333333333336;1374
78;43.63636363636364;1199
79;43.93939393939394;1060
80;44.24242424242424;975
81;44.54545454545455;968
82;44.848484848484844;1055
83;45.151515151515156;1248
84;45.45454545454545;1540
85;45.75757575757576;1886
86;46.06060606060606;2262
87;46.36363636363636;2608
88;46.66666666666667;2873
89;46.96969696969697;3033
90;47.27272727272727;3073
91;47.57575757575758;3012
92;47.878787878787875;2847
93;48.18181818181819;2622
94;48.484848484848484;2391
95;48.78787878787879;2185
96;49.09090909090909;2008
97;49.39393939393939;1957
98;49.6969696969697;2032
99;50.0;2285
