;voltages;currents
0;20.0;431
1;20.303030303030305;448
2;20.606060606060606;487
3;20.90909090909091;541
4;21.21212121212121;604
5;21.515151515151516;665
6;21.81818181818182;717
7;22.12121212121212;753
8;22.424242424242426;771
9;22.727272727272727;767
10;23.03030303030303;746
11;23.333333333333332;714
12;23.636363636363637;682
13;23.939393939393938;650
14;24.242424242424242;631
15;24.545454545454547;633
16;24.848484848484848;659
17;25.151515151515152;719
18;25.454545454545453;805
19;25.757575757575758;920
20;26.060606060606062;1039
21;26.363636363636363;1148
22;26.666666666666668;1237
23;26.96969696969697;1293
24;27.272727272727273;1303
25;27.575757575757578;1276
26;27.87878787878788;1213
27;28.18181818181818;1136
28;28.484848484848484;1052
29;28.78787878787879;989
30;29.090909090909093;941
31;29.393939393939394;933
32;29.696969696969695;973
33;30.0;1062
34;30.303030303030305;1202
35;30.606060606060606;1383
36;30.90909090909091;1581
37;31.21212121212121;1763
38;31.515151515151516;1902
39;31.81818181818182;1968
40;32.121212121212125;1973
41;32.42424242424242;1912
42;32.72727272727273;1804
43;33.03030303030303;1668
44;33.333333333333336;1535
45;33.63636363636364;1417
46;33.93939393939394;1348
47;34.24242424242424;1339
48;34.54545454545455;1401
49;34.84848484848485;1523
50;35.151515151515156;1745
51;35.45454545454545;1982
52;35.75757575757576;2250
53;36.06060606060606;2515
54;36.36363636363636;2718
55;36.66666666666667;2826
56;36.96969696969697;2839
57;37.27272727272727;2748
58;37.57575757575758;2599
59;37.878787878787875;2410
60;38.18181818181819;2199
61;38.484848484848484;2037
62;38.78787878787879;1927
63;39.09090909090909;1886
64;39.39393939393939;1947
65;39.6969696969697;2105
66;40.0;2362
67;40.303030303030305;2674
68;40.60606060606061;3047
69;40.90909090909091;3430
70;41.21212121212121;3726
71;41.515151515151516;3955
72;41.81818181818182;4053
73;42.121212121212125;4003
74;42.42424242424242;3853
75;42.72727272727273;3615
76;43.03030303030303;3358
77;43.333333333333336;3115
78;43.63636363636364;2920
79;43.93939393939394;2831
80;44.24242424242424;2841
81;44.54545454545455;2986
82;44.848484848484844;3270
83;45.151515151515156;3669
84;45.45454545454545;4156
85;45.75757575757576;4666
86;46.06060606060606;5164
87;46.36363636363636;5575
88;46.66666666666667;5826
89;46.96969696969697;5899
90;47.27272727272727;5837
91;47.57575757575758;5622
92;47.878787878787875;5341
93;48.18181818181819;5025
94;48.484848484848484;4755
95;48.78787878787879;4584
96;49.09090909090909;4525
97;49.39393939393939;4678
98;49.6969696969697;4936
99;50.0;5475
